,acc
326,0.2222222222222222
327,0.0
328,1.0
329,1.0
330,0.3333333333333333
331,0.0
332,0.0
333,1.0
334,1.0
335,0.0
336,0.0
337,0.5555555555555556
338,1.0
339,1.0
340,1.0
341,0.0
342,0.6666666666666666
343,0.2222222222222222
344,1.0
345,0.0
346,1.0
347,1.0
348,0.0
349,0.4444444444444444
350,1.0
351,0.6666666666666666
352,1.0
353,0.0
354,0.3333333333333333
355,0.0
356,0.0
357,1.0
358,1.0
359,0.0
360,0.3333333333333333
361,0.0
362,0.0
363,0.0
364,1.0
365,1.0
366,0.3333333333333333
367,0.0
368,1.0
369,0.2222222222222222
370,1.0
371,1.0
372,0.0
373,0.6666666666666666
374,0.0
375,0.3333333333333333
376,0.0
377,1.0
378,1.0
379,0.0
380,1.0
381,0.1111111111111111
382,0.3333333333333333
383,0.3333333333333333
